18-4-26 11:11:00.8|Info|Bootstrap|Starting Sonarr - /opt/NzbDrone/NzbDrone.exe - Version 2.0.0.5163
18-4-26 11:11:03.5|Info|AppFolderInfo|Data directory is being overridden to [/config]
18-4-26 11:11:03.7|Info|Router|Application mode: Interactive
18-4-26 11:11:04.8|Info|MigrationLogger|*** Migrating data source=/config/nzbdrone.db;cache size=-10485760;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
18-4-26 11:11:06.7|Info|MigrationLogger|*** VersionMigration migrating ***
18-4-26 11:11:07.2|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
18-4-26 11:11:07.2|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
18-4-26 11:11:07.3|Info|MigrationLogger|*** 1: InitialSetup migrating ***
18-4-26 11:11:07.3|Info|InitialSetup|Starting migration to 1
18-4-26 11:11:07.3|Info|MigrationLogger|*** 2: remove_tvrage_imdb_unique_constraint migrating ***
18-4-26 11:11:07.3|Info|remove_tvrage_imdb_unique_constraint|Starting migration to 2
18-4-26 11:11:07.3|Info|MigrationLogger|*** 3: remove_renamed_scene_mapping_columns migrating ***
18-4-26 11:11:07.3|Info|remove_renamed_scene_mapping_columns|Starting migration to 3
18-4-26 11:11:07.5|Info|MigrationLogger|*** 4: updated_history migrating ***
18-4-26 11:11:07.5|Info|updated_history|Starting migration to 4
18-4-26 11:11:07.5|Info|MigrationLogger|*** 5: added_eventtype_to_history migrating ***
18-4-26 11:11:07.5|Info|added_eventtype_to_history|Starting migration to 5
18-4-26 11:11:07.7|Info|MigrationLogger|*** 6: add_index_to_log_time migrating ***
18-4-26 11:11:07.7|Info|add_index_to_log_time|Starting migration to 6
18-4-26 11:11:07.7|Info|MigrationLogger|*** 7: add_renameEpisodes_to_naming migrating ***
18-4-26 11:11:07.7|Info|add_renameEpisodes_to_naming|Starting migration to 7
18-4-26 11:11:07.8|Info|MigrationLogger|*** 8: remove_backlog migrating ***
18-4-26 11:11:07.8|Info|remove_backlog|Starting migration to 8
18-4-26 11:11:07.8|Info|MigrationLogger|*** 9: fix_rename_episodes migrating ***
18-4-26 11:11:07.8|Info|fix_rename_episodes|Starting migration to 9
18-4-26 11:11:07.9|Info|MigrationLogger|*** 10: add_monitored migrating ***
18-4-26 11:11:07.9|Info|add_monitored|Starting migration to 10
18-4-26 11:11:08.0|Info|MigrationLogger|*** 11: remove_ignored migrating ***
18-4-26 11:11:08.0|Info|remove_ignored|Starting migration to 11
18-4-26 11:11:08.0|Info|MigrationLogger|*** 12: remove_custom_start_date migrating ***
18-4-26 11:11:08.0|Info|remove_custom_start_date|Starting migration to 12
18-4-26 11:11:08.0|Info|MigrationLogger|*** 13: add_air_date_utc migrating ***
18-4-26 11:11:08.0|Info|add_air_date_utc|Starting migration to 13
18-4-26 11:11:08.0|Info|MigrationLogger|*** 14: drop_air_date migrating ***
18-4-26 11:11:08.0|Info|drop_air_date|Starting migration to 14
18-4-26 11:11:08.1|Info|MigrationLogger|*** 15: add_air_date_as_string migrating ***
18-4-26 11:11:08.1|Info|add_air_date_as_string|Starting migration to 15
18-4-26 11:11:08.1|Info|MigrationLogger|*** 16: updated_imported_history_item migrating ***
18-4-26 11:11:08.1|Info|updated_imported_history_item|Starting migration to 16
18-4-26 11:11:08.1|Info|MigrationLogger|*** 17: reset_scene_names migrating ***
18-4-26 11:11:08.1|Info|reset_scene_names|Starting migration to 17
18-4-26 11:11:08.2|Info|MigrationLogger|*** 18: remove_duplicates migrating ***
18-4-26 11:11:08.2|Info|remove_duplicates|Starting migration to 18
18-4-26 11:11:08.2|Info|MigrationLogger|*** 19: restore_unique_constraints migrating ***
18-4-26 11:11:08.2|Info|restore_unique_constraints|Starting migration to 19
18-4-26 11:11:08.3|Info|MigrationLogger|*** 20: add_year_and_seasons_to_series migrating ***
18-4-26 11:11:08.3|Info|add_year_and_seasons_to_series|Starting migration to 20
18-4-26 11:11:08.3|Info|MigrationLogger|*** 21: drop_seasons_table migrating ***
18-4-26 11:11:08.3|Info|drop_seasons_table|Starting migration to 21
18-4-26 11:11:08.3|Info|MigrationLogger|*** 22: move_indexer_to_generic_provider migrating ***
18-4-26 11:11:08.3|Info|move_indexer_to_generic_provider|Starting migration to 22
18-4-26 11:11:08.4|Info|MigrationLogger|*** 23: add_config_contract_to_indexers migrating ***
18-4-26 11:11:08.4|Info|add_config_contract_to_indexers|Starting migration to 23
18-4-26 11:11:08.5|Info|MigrationLogger|*** 24: drop_tvdb_episodeid migrating ***
18-4-26 11:11:08.5|Info|drop_tvdb_episodeid|Starting migration to 24
18-4-26 11:11:08.5|Info|MigrationLogger|*** 25: move_notification_to_generic_provider migrating ***
18-4-26 11:11:08.5|Info|move_notification_to_generic_provider|Starting migration to 25
18-4-26 11:11:08.5|Info|MigrationLogger|*** 26: add_config_contract_to_notifications migrating ***
18-4-26 11:11:08.5|Info|add_config_contract_to_notifications|Starting migration to 26
18-4-26 11:11:08.7|Info|MigrationLogger|*** 27: fix_omgwtfnzbs migrating ***
18-4-26 11:11:08.7|Info|fix_omgwtfnzbs|Starting migration to 27
18-4-26 11:11:08.7|Info|MigrationLogger|*** 28: add_blacklist_table migrating ***
